market_id,usable_points,timestamp_min,timestamp_max,min_price,max_price,unique_transactions,observed_days,question,market_family,asset,is_core,is_satellite,resolved_outcome,start_date,close_date,volume_clob
521147,4000,2025-02-06 14:02:29+00:00,2025-02-07 19:39:26+00:00,0.000999999001000007,0.049000000000000044,4000,1.2339930555555556,"Bitcoin above $105,000 on February 7?",btc_price,BTC,True,False,No,,2025-02-07 19:36:30+00:00,5129860.818647
521164,4000,2025-02-19 10:12:48+00:00,2025-02-25 10:43:01+00:00,0.06954169318905155,0.999,4000,6.020983796296297,"Will Bitcoin dip to $90,000 by February 28, 2025?",btc_price,BTC,True,False,Yes,,2025-02-25 10:43:03+00:00,4420019.415421
521165,4000,2025-02-25 14:47:10+00:00,2025-02-26 22:13:54+00:00,0.20099999999999996,0.999,4000,1.3102314814814815,"Will Bitcoin dip to $85,000 by February 28, 2025?",btc_price,BTC,True,False,Yes,,2025-02-26 22:20:22+00:00,4737626.787572
521166,4000,2025-02-25 18:03:40+00:00,2025-03-01 06:51:13+00:00,0.001,0.42899999773488,4000,3.5330208333333335,"Will Bitcoin dip to $75,000 by February 28, 2025?",btc_price,BTC,True,False,No,,2025-03-01 07:10:13+00:00,4827244.359446
521834,4000,2025-06-09 11:06:52+00:00,2025-06-18 20:55:00+00:00,0.001,0.006000000060000001,4000,9.408425925925926,Fed decreases interest rates by 50+ bps after June 2025 meeting?,crypto_policy,,False,True,No,,2025-06-18 21:09:10+00:00,29564378.908894
521835,4000,2025-06-11 15:55:44+00:00,2025-06-18 21:10:24+00:00,0.001,0.029519291133333334,4000,7.218518518518518,Fed decreases interest rates by 25 bps after June 2025 meeting?,crypto_policy,,False,True,No,,2025-06-18 21:18:42+00:00,22347675.300958
521836,4000,2025-06-15 12:05:07+00:00,2025-06-18 21:15:16+00:00,0.974,0.999,4000,3.382048611111111,No change in Fed interest rates after June 2025 meeting?,crypto_policy,,False,True,Yes,,2025-06-18 21:18:38+00:00,28071372.791282
521837,4000,2025-06-03 10:05:34+00:00,2025-06-18 18:27:04+00:00,0.001,0.003000000003,4000,15.348263888888889,Fed increases interest rates by 25+ bps after June 2025 meeting?,crypto_policy,,False,True,No,,2025-06-18 21:09:10+00:00,26912558.981079
522036,4000,2025-02-14 12:19:51+00:00,2025-02-14 20:17:34+00:00,0.037594758649195495,0.999,4000,0.33174768518518516,"Bitcoin above $97,000 on February 14?",btc_price,BTC,True,False,Yes,,2025-02-14 20:15:05+00:00,10056695.402617
522037,4000,2025-02-13 14:11:11+00:00,2025-02-14 20:15:45+00:00,0.17,0.999,4000,1.2531712962962962,"Ethereum above $2,700 on February 14?",eth_price,ETH,True,False,Yes,,2025-02-14 20:15:11+00:00,5217482.832123
523483,4000,2025-02-20 17:39:59+00:00,2025-02-21 20:38:03+00:00,0.6062651,0.999,4000,1.1236574074074075,"Bitcoin above $97,000 on February 21?",btc_price,BTC,True,False,Yes,,2025-02-21 20:36:30+00:00,6418927.421659
523484,4000,2025-02-20 09:49:54+00:00,2025-02-21 20:29:52+00:00,0.20040747999999997,0.999,4000,1.4444212962962963,"Ethereum above $2,700 on February 21?",eth_price,ETH,True,False,Yes,,2025-02-21 20:36:10+00:00,4780243.935768
526067,4000,2025-03-05 21:36:23+00:00,2025-03-07 19:19:29+00:00,0.6,0.999,4000,1.9049305555555556,"Bitcoin above $84,000 on March 7?",btc_price,BTC,True,False,Yes,,2025-03-07 19:23:33+00:00,6513649.365194
526068,4000,2025-03-05 20:28:43+00:00,2025-03-07 19:22:25+00:00,0.001,0.5700000000000001,4000,1.9539583333333332,"Ethereum above $2,300 on March 7?",eth_price,ETH,True,False,No,,2025-03-07 19:23:23+00:00,4345803.661636
526179,4000,2025-03-25 16:08:24+00:00,2025-04-01 07:39:16+00:00,0.000999999001000007,0.13089094261019463,4000,6.646435185185185,"Will Bitcoin dip to $75,000 by March 31?",btc_price,BTC,True,False,No,,2025-04-01 07:51:10+00:00,4097021.610682
526842,761,2025-03-05 01:03:11+00:00,2025-03-17 00:23:59+00:00,0.32999999999999996,0.999000000999,761,11.972777777777777,Will Fed end QT before May?,crypto_policy,,False,True,Yes,,2025-03-17 00:23:49+00:00,6253067.825541
528972,4000,2025-07-27 23:06:57+00:00,2025-07-30 21:21:01+00:00,0.001,0.011699597887137139,3999,2.926435185185185,Fed decreases interest rates by 50+ bps after July 2025 meeting?,crypto_policy,,False,True,No,,2025-07-30 21:08:11+00:00,40912544.015545
528973,4000,2025-07-27 14:03:43+00:00,2025-07-30 21:20:33+00:00,0.001,0.047,4000,3.3033564814814813,Fed decreases interest rates by 25 bps after July 2025 meeting?,crypto_policy,,False,True,No,,2025-07-30 21:07:17+00:00,23551704.395621
528974,4000,2025-07-28 18:37:27+00:00,2025-07-30 21:17:39+00:00,0.96099999998323,0.999,4000,2.11125,No change in Fed interest rates after July 2025 meeting?,crypto_policy,,False,True,Yes,,2025-07-30 21:10:09+00:00,28670116.640169
528975,4000,2025-07-21 21:06:07+00:00,2025-07-30 19:55:59+00:00,0.001,0.0020000000000000018,4000,8.951296296296297,Fed increases interest rates by 25+ bps after July 2025 meeting?,crypto_policy,,False,True,No,,2025-07-30 21:09:13+00:00,43479262.352112
532807,4000,2025-04-25 22:51:53+00:00,2025-05-01 07:34:19+00:00,0.001,0.234,4000,5.362800925925926,Will Bitcoin reach $100k in April?,btc_price,BTC,True,False,No,,2025-05-01 07:39:27+00:00,5083115.723805
