fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece
2,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,fixed_2,168,h0_h1,0.01,2,2024-08-06 17:00:00+00:00,2025-06-05 22:00:00+00:00,2025-06-05 23:00:00+00:00,2025-06-19 22:00:00+00:00,ok,active_market_count_bucket,26-50,11014,0.0325319930257023,0.1171014115644189,0.0846148683487477,0.0897948066097693,0.0390286196049837
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.0472841721343097,0.1828131085039481,0.1697308015650647,0.0901045856798069,0.1050235520790542
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.0425269167114671,0.1680629888981107,0.137862786416029,0.0,0.137862786416029
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.0137828649032992,0.1119999990012333,0.1042821387940841,0.0,0.1042821387940841
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0094640625,0.1007813019701841,0.0956994047619047,0.0,0.0956994047619047
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0998137648809523,0.3793731080599186,0.3155208333333333,0.0,0.3155208333333333
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0614975908234127,0.2107563958502197,0.2112786706349206,0.2,0.0986338293650793
3,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.0472841721343097,0.1828131085039481,0.1697308015650647,0.0901045856798069,0.1050235520790542
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.0348972260015072,0.1150932782289885,0.0808888860672737,0.0901045856798069,0.0586253764763844
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.0101911675327562,0.0541104154180867,0.04765133794896,0.0,0.04765133794896
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.0002945956856099,0.0153630369797149,0.0152133393260058,0.0,0.0152133393260058
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001695316301145,0.0129204825415766,0.012834940146577,0.0,0.012834940146577
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0063195375400814,0.0822830863808726,0.0789411449252358,0.0,0.0789411449252358
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0694080299807775,0.2038538633472986,0.1329766131267976,0.2,0.0950988048674197
3,design_cv,pca_only,pca_only_fixed_2_C1,fixed_2,0,none,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.0348972260015072,0.1150932782289885,0.0808888860672737,0.0901045856798069,0.0586253764763844
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.0418240536046141,0.1314842536438182,0.0600857516508448,0.0901045856798069,0.0520336544972841
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_btc,3717,0.0044957253858804,0.03543389611536,0.0328248011319181,0.0,0.0328248011319181
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_eth,1758,0.0001754652130164,0.011935202309181,0.0118463880670926,0.0,0.0118463880670926
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001085603615468,0.0102938335082315,0.0102391542718272,0.0,0.0102391542718272
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0030316748410616,0.0557512862365955,0.0541743427683448,0.0,0.0541743427683448
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0892483114172502,0.2571494658251585,0.1007342525165108,0.2,0.1107379081243739
3,design_cv,tda_only,tda_only_24h_h0_h1_C0.01,none,24,h0_h1,0.01,0,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,active_market_count_bucket,26-50,11187,0.0418240536046141,0.1314842536438182,0.0600857516508448,0.0901045856798069,0.0520336544972841
3,design_cv,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C1,fixed_2,168,h0_h1,1.0,2,2024-08-06 17:00:00+00:00,2025-06-19 22:00:00+00:00,2025-06-19 23:00:00+00:00,2025-07-03 22:00:00+00:00,ok,overall,overall,11187,0.0343593722606532,0.1141087225522442,0.0849518881713662,0.0901045856798069,0.0583723490316249
