fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,overall,overall,ok,14850,0.059212703856208165,0.19896097771741716,0.11300439822551223,0.08653198653198653,0.045519161328388756
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,broad_family,crypto_btc,ok,3112,0.08378487495275273,0.243024819169517,0.14811038271399848,0.0,0.14811038271399846
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,broad_family,crypto_eth,ok,1937,0.09056472720851945,0.27885842250033904,0.17307797010192633,0.0,0.17307797010192633
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,broad_family,crypto_microstrategy,ok,336,0.00027986441222537125,0.015776643941076356,0.015634629333815857,0.0,0.015634629333815857
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,broad_family,crypto_policy,ok,336,0.0015984750133653336,0.03793878632605157,0.03711028338181158,0.0,0.03711028338181158
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,broad_family,macro_fed_rates,ok,9129,0.04847355929037398,0.1796560557449005,0.09466770554091479,0.1407602147004053,0.058201142522681826
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,active_market_count_bucket,26-50,ok,1740,0.04083914095037832,0.1324228507664246,0.1070552366171328,0.1,0.0956892118990559
1,pca_residual_scalar_ph,pca_residual_scalar_ph_168h,168,real,active_market_count_bucket,51-100,ok,13110,0.061651300305952166,0.20779212500153063,0.11379398946872962,0.08474446987032799,0.05276621119839732
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,overall,overall,ok,14850,0.05690299584798844,0.19377404441919902,0.08783452867887948,0.08653198653198653,0.034765395325170305
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,broad_family,crypto_btc,ok,3112,0.05926929128489063,0.17405215367115687,0.1154869346418164,0.0,0.1154869346418164
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,broad_family,crypto_eth,ok,1937,0.06065385628492235,0.19211442834684875,0.13260723606174932,0.0,0.13260723606174935
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,broad_family,crypto_microstrategy,ok,336,0.00014761263284903122,0.010435557433339005,0.010360766891299993,0.0,0.010360766891299993
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,broad_family,crypto_policy,ok,336,0.0008927285804818241,0.025745148103648766,0.025284108283227507,0.0,0.025284108283227504
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,broad_family,macro_fed_rates,ok,9129,0.059450912432081816,0.21378156343873272,0.074061837656455,0.1407602147004053,0.06671104188893963
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,active_market_count_bucket,26-50,ok,1740,0.04035658059946395,0.13302697371302005,0.1123545842773651,0.1,0.08775096299311981
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,active_market_count_bucket,51-100,ok,13110,0.059099087574337225,0.20183658469599167,0.08458015059029328,0.08474446987032799,0.03487453273811404
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,overall,overall,ok,14850,0.05975194883619107,0.2004323584367459,0.11568392223205624,0.08653198653198653,0.048502371942892746
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,broad_family,crypto_btc,ok,3112,0.0856825958317549,0.24929430194037888,0.15110231795874898,0.0,0.15110231795874896
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,broad_family,crypto_eth,ok,1937,0.09323216658434041,0.28634388528333,0.17727372652204695,0.0,0.17727372652204695
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,broad_family,crypto_microstrategy,ok,336,0.00032767985187606816,0.016905763871460137,0.016739155082786266,0.0,0.016739155082786266
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,broad_family,crypto_policy,ok,336,0.0018276944776698066,0.040314623545104365,0.03936346541638219,0.0,0.0393634654163822
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,broad_family,macro_fed_rates,ok,9129,0.048127647008480816,0.17819503770198725,0.09699267640458788,0.1407602147004053,0.057050779186442295
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,active_market_count_bucket,26-50,ok,1740,0.041321797133770426,0.13244051839710705,0.10328801256347714,0.1,0.0882223507648327
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_168h,168,shuffle,active_market_count_bucket,51-100,ok,13110,0.0621980559271302,0.20945644704612584,0.11732914594092946,0.08474446987032799,0.05366629573629299
1,pca_residual_image_ph_shuffle,pca_residual_image_ph_shuffle_168h,168,shuffle,overall,overall,ok,14850,0.059801160528670246,0.20059848606018427,0.11593545261593594,0.08653198653198653,0.048470501907948715
