fold,representation,model,window_hours,placebo_type,prob_decile,n_obs,avg_pred,avg_actual
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,4,442,0.44688389273772205,0.581447963800905
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,5,310,0.5569256911035771,0.8225806451612904
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,6,259,0.654321621608553,0.667953667953668
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,7,332,0.7657395587618477,0.34036144578313254
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,8,421,0.8411866232777823,0.4085510688836104
1,pca_residual_scalar_ph_shuffle,pca_residual_scalar_ph_shuffle_72h,72,shuffle,9,28,0.9128898902361299,0.8214285714285714
2,market_probability,market_probability,0,none,0,11019,0.029104536450900685,0.0
2,market_probability,market_probability,0,none,1,2545,0.1487489194499018,0.1292730844793713
2,market_probability,market_probability,0,none,2,696,0.25558189655172414,0.010057471264367816
2,market_probability,market_probability,0,none,3,1308,0.3442737003058104,0.0
2,market_probability,market_probability,0,none,4,750,0.4532733333333333,0.24666666666666667
2,market_probability,market_probability,0,none,5,528,0.5614204545454545,0.5662878787878788
2,market_probability,market_probability,0,none,6,538,0.6437193308550186,0.4795539033457249
2,market_probability,market_probability,0,none,7,386,0.7498549222797928,0.5984455958549223
2,market_probability,market_probability,0,none,8,130,0.8366269230769231,0.2692307692307692
2,market_probability,market_probability,0,none,9,34,0.9148235294117647,0.0
2,pca_only,pca_only_fixed_5_C0.01,0,none,0,15184,0.015495875988539073,0.022128556375131718
2,pca_only,pca_only_fixed_5_C0.01,0,none,1,748,0.14033244333879694,0.01871657754010695
2,pca_only,pca_only_fixed_5_C0.01,0,none,2,492,0.24062996102585066,0.4024390243902439
2,pca_only,pca_only_fixed_5_C0.01,0,none,3,187,0.36197021831501175,0.6363636363636364
2,pca_only,pca_only_fixed_5_C0.01,0,none,4,390,0.45389718270814744,0.7153846153846154
2,pca_only,pca_only_fixed_5_C0.01,0,none,5,251,0.5519479399457389,0.36254980079681276
2,pca_only,pca_only_fixed_5_C0.01,0,none,6,229,0.6528993338971527,0.43231441048034935
2,pca_only,pca_only_fixed_5_C0.01,0,none,7,241,0.7559456469494662,0.5809128630705395
2,pca_only,pca_only_fixed_5_C0.01,0,none,8,187,0.8496887687325572,0.36363636363636365
2,pca_only,pca_only_fixed_5_C0.01,0,none,9,25,0.9055583000157781,0.0
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,0,15171,0.015242058726869246,0.02214751829147716
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,1,770,0.14174701626833022,0.01948051948051948
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,2,483,0.24190598147333203,0.41200828157349895
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,3,149,0.35591582577962166,0.5302013422818792
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,4,382,0.4525940385353434,0.7146596858638743
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,5,256,0.5432614875801368,0.52734375
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,6,226,0.6570624752859451,0.2920353982300885
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,7,268,0.7487211490499371,0.5970149253731343
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,8,200,0.8474927011481751,0.405
2,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,9,29,0.9075685247008984,0.0
2,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,0,15207,0.015340428687055277,0.022095087788518444
