fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece,placebo_type
4,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-03 22:00:00+00:00,2025-07-03 23:00:00+00:00,2025-07-17 22:00:00+00:00,ok,broad_family,macro_fed_rates,4680,0.07456543295296963,0.20912501348439155,0.12833422000063846,0.2,0.08700943656987531,future_shift
4,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-03 22:00:00+00:00,2025-07-03 23:00:00+00:00,2025-07-17 22:00:00+00:00,ok,active_market_count_bucket,26-50,10608,0.04395910953542924,0.13174206186024628,0.08551377417983191,0.08823529411764706,0.06456671777417887,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,overall,overall,11336,0.06117322883526817,0.18273977198503344,0.07709576792183442,0.08697953422724065,0.05124888250788465,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_btc,3696,0.04288437213873719,0.11880716775320369,0.07693812925669295,0.0,0.07693812925669295,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_eth,2016,0.008052706529286422,0.05778394856170084,0.05303716492425112,0.0,0.05303716492425112,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,2.2908436837001473e-05,0.004700190413198503,0.004688697021864513,0.0,0.004688697021864513,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.001369881585448426,0.03654915008067181,0.0358450244582397,0.0,0.0358450244582397,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,macro_fed_rates,4952,0.10465606802126372,0.3033268466276593,0.09471971819963099,0.1991114701130856,0.10642319418305601,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,active_market_count_bucket,26-50,11336,0.06117322883526817,0.18273977198503344,0.07709576792183442,0.08697953422724065,0.05124888250788465,shuffle
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,overall,overall,10608,0.060054160853073545,0.17888495511717684,0.07825362659407019,0.08823529411764706,0.05221263863869752,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_btc,3432,0.043255344540668955,0.11978381297680354,0.07738966219590981,0.0,0.07738966219590981,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_eth,1872,0.007905868877703497,0.057832858318798634,0.053187435556665205,0.0,0.05318743555666521,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_microstrategy,312,2.1711945891254523e-05,0.004605526850027562,0.004594635576353854,0.0,0.004594635576353854,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,crypto_policy,312,0.0014627498849843078,0.03795957484847443,0.03720728763772465,0.0,0.03720728763772465,future_shift
5,design_cv,pca_plus_tda,pca_plus_tda_var_85_24h_h0_h1_C1,var_85,24,h0_h1,1.0,6,2024-08-06 17:00:00+00:00,2025-07-17 22:00:00+00:00,2025-07-17 23:00:00+00:00,2025-07-31 22:00:00+00:00,ok,broad_family,macro_fed_rates,4680,0.10114086693066972,0.2916602853085253,0.09656069889928726,0.2,0.10343930110071278,future_shift
